grupo,feature_original,tipo,n_pcs,var_retida
perfil,gender,direto,1,1.0
perfil,age_band,direto,1,1.0
perfil,highest_education,direto,1,1.0
perfil,imd_band_ord,direto,1,1.0
perfil,disability,direto,1,1.0
perfil,num_of_prev_attempts,direto,1,1.0
perfil,studied_credits,direto,1,1.0
interacao,avg_clicks_por_dia,pca,1,0.9933378906187621
interacao,clicks_por_dia_ativo,pca,1,0.9933378906187621
interacao,active_days,direto,1,1.0
interacao,unique_activities,direto,1,1.0
interacao,click_variance,direto,1,1.0
interacao,clicks_2a_metade,direto,1,1.0
interacao,ratio_metade,direto,1,1.0
avaliacao,weighted_score,direto,1,1.0
avaliacao,num_late,direto,1,1.0
avaliacao,dias_antes_prazo_media,direto,1,1.0
avaliacao,score_variance,direto,1,1.0
avaliacao,delta_score,direto,1,1.0
avaliacao,score_por_submissao,direto,1,1.0
